age,nl,sex,zcr
19.0,english,male,94244
64.0,english,female,60534
58.0,english,male,51630
88.0,english,female,82970
74.0,english,female,67646
19.0,english,male,65548
20.0,english,male,80007
22.0,english,female,60154
35.0,english,female,131206
43.0,english,male,91639
22.0,english,female,93772
20.0,english,male,65780
27.5,english,male,53320
21.0,english,male,81689
20.0,english,male,46994
22.0,english,male,139287
27.0,english,male,103838
21.0,english,female,83914
62.0,english,male,70580
29.0,english,female,84425
38.0,english,male,92846
64.0,english,female,130100
30.0,english,female,80745
25.0,english,male,85567
30.0,english,female,89498
20.0,english,female,80910
44.0,english,female,105484
67.0,english,male,61990
66.0,english,female,105179
31.0,english,female,88763
54.0,english,female,69767
57.0,english,male,67275
55.0,english,female,71283
32.0,english,female,48947
33.0,english,male,42286
20.0,english,male,55425
47.0,english,female,104032
25.0,english,female,79289
22.0,english,female,66393
18.0,english,female,62840
19.0,english,male,73292
18.0,english,female,75246
20.0,english,male,89943
25.0,english,female,87705
52.0,english,female,93149
29.0,english,female,74473
63.0,english,male,60278
50.0,english,female,106565
29.0,english,female,93572
23.0,english,female,80812
38.0,english,female,108583
29.0,english,female,114205
22.0,english,female,78198
21.0,english,female,86623
21.0,english,female,87174
20.0,english,female,93376
19.0,english,female,85934
40.0,english,female,80533
18.0,english,female,79322
27.0,english,female,63563
60.0,english,male,75861
39.0,english,female,87681
31.0,english,male,45987
56.0,english,male,77493
43.0,english,female,87931
63.0,english,male,112131
19.0,english,female,55462
53.0,english,female,113556
82.0,english,male,112848
81.0,english,female,127524
23.0,english,female,68249
21.0,english,male,72336
22.0,english,female,23944
90.0,english,male,79094
84.0,english,female,87863
23.0,english,male,35270
19.0,english,female,115792
20.0,english,male,108943
22.0,english,female,104980
20.0,english,female,107513
30.0,english,female,108626
32.0,english,male,105430
52.0,english,male,86834
27.0,english,female,74071
22.0,english,male,88811
24.0,english,male,74837
86.0,english,female,82232
24.0,english,male,97267
34.0,english,male,49591
42.0,english,female,61178
39.0,english,male,34407
51.0,english,male,66933
46.0,english,male,45356
26.0,english,female,91457
24.0,english,male,53710
63.0,english,female,141878
38.0,english,female,86156
60.0,english,male,80947
22.0,english,male,17966
46.0,english,female,94293
30.0,english,male,73803
45.0,english,female,100269
18.0,english,male,74000
19.0,english,male,50843
30.0,english,male,78302
21.0,english,male,87800
25.0,english,female,70675
47.0,english,male,56458
19.0,english,male,40763
